,all stations
647,5.41694375202e-08
648,1.92299536449e-07
649,-6.08980012523e-07
650,2.51080580953e-08
651,1.06567415154e-06
652,2.48053520474e-06
653,3.51814549549e-06
654,-2.50378860558e-06
655,-1.05273482925e-06
656,-3.50220484545e-07
657,1.05384380006e-07
658,3.57726431225e-08
659,-3.50397487795e-07
660,2.27757406738e-07
661,1.05158993743e-07
662,3.53092418077e-08
663,2.51246973461e-08
664,-2.54778075472e-07
665,2.57859894171e-07
666,1.0791293062e-07
667,-1.7161948969e-07
668,5.31958595409e-06
669,-2.31581780718e-08
670,6.61241986321e-07
671,7.09790519892e-06
672,-2.91731755504e-07
673,1.55584349952e-07
674,2.00912029004e-07
675,-2.71948005924e-07
676,-2.72708545504e-06
677,-1.40143009465e-07
678,1.59703796086e-08
679,4.40428302259e-07
680,1.50669822987e-06
681,2.90471923912e-06
682,2.3926551047e-06
